Date,Article DOI
2018-01-03T00:00:00.000Z,10.1101/175950
2018-01-10T00:00:00.000Z,10.1101/199570
2018-01-12T00:00:00.000Z,10.1101/196998
2018-01-17T00:00:00.000Z,10.1101/146951
2018-01-31T00:00:00.000Z,10.1101/130765
2018-02-05T00:00:00.000Z,10.1101/206011
2018-02-05T00:00:00.000Z,10.1101/206946
2018-02-08T00:00:00.000Z,10.1101/191130
2018-02-15T00:00:00.000Z,10.1101/147009
2018-02-16T00:00:00.000Z,10.1101/211854
2018-02-28T00:00:00.000Z,10.1101/190793
2018-03-13T00:00:00.000Z,10.1101/195594
2018-04-17T00:00:00.000Z,10.1101/086173
2018-04-24T00:00:00.000Z,10.1101/247379
2018-04-25T00:00:00.000Z,10.1101/212068
2018-05-01T00:00:00.000Z,10.1101/120915
2018-05-09T00:00:00.000Z,10.1101/119925
2018-05-25T00:00:00.000Z,10.1101/084673
2018-05-28T00:00:00.000Z,10.1101/181636
2018-05-28T00:00:00.000Z,10.1101/213470
2018-06-11T00:00:00.000Z,10.1101/272799
2018-06-12T00:00:00.000Z,10.1101/288654
2018-06-15T00:00:00.000Z,10.1101/271155
2018-06-20T00:00:00.000Z,10.1101/196352
2018-06-28T00:00:00.000Z,10.1101/220897
2018-07-04T00:00:00.000Z,10.1101/273714
2018-07-17T00:00:00.000Z,10.1101/209320
2018-07-20T00:00:00.000Z,10.1101/221861
2018-07-24T00:00:00.000Z,10.1101/276345
2018-07-27T00:00:00.000Z,10.1101/203737
2018-07-27T00:00:00.000Z,10.1101/275925
2018-07-30T00:00:00.000Z,10.1101/259135
2018-07-31T00:00:00.000Z,10.1101/249219
2018-07-31T00:00:00.000Z,10.1101/259150
2018-08-03T00:00:00.000Z,10.1101/177253
2018-08-14T00:00:00.000Z,10.1101/028274
2018-08-14T00:00:00.000Z,10.1101/108381
2018-09-03T00:00:00.000Z,10.1101/293639
2018-09-05T00:00:00.000Z,10.1101/271460
2018-09-11T00:00:00.000Z,10.1101/233783
2018-09-17T00:00:00.000Z,10.1101/328906
2018-10-01T00:00:00.000Z,10.1101/043398
2018-10-02T00:00:00.000Z,10.1101/161281
2018-10-04T00:00:00.000Z,10.1101/354274
2018-10-16T00:00:00.000Z,10.1101/383091
2018-10-18T00:00:00.000Z,10.1101/256263
2018-10-18T00:00:00.000Z,10.1101/307728
2018-10-19T00:00:00.000Z,10.1101/016683
2018-10-30T00:00:00.000Z,10.1101/437293
2018-11-07T00:00:00.000Z,10.1101/287607
2018-11-09T00:00:00.000Z,10.1101/312330
2018-11-15T00:00:00.000Z,10.1101/351486
2018-11-16T00:00:00.000Z,10.1101/226092
2018-11-20T00:00:00.000Z,10.1101/382119
2018-11-21T00:00:00.000Z,10.1101/300772
2018-11-30T00:00:00.000Z,10.1101/313015
2018-12-07T00:00:00.000Z,10.1101/245381
2018-12-10T00:00:00.000Z,10.1101/035675
2018-12-14T00:00:00.000Z,10.1101/306407
2019-01-03T00:00:00.000Z,10.1101/174656
2019-01-03T00:00:00.000Z,10.1101/329201
2019-01-04T00:00:00.000Z,10.1101/202077
2019-01-04T00:00:00.000Z,10.1101/327015
2019-01-23T00:00:00.000Z,10.1101/384388
2019-01-29T00:00:00.000Z,10.1101/365353
2019-01-31T00:00:00.000Z,10.1101/397364
2019-02-01T00:00:00.000Z,10.1101/412130
2019-02-11T00:00:00.000Z,10.1101/305755
2019-02-21T00:00:00.000Z,10.1101/427153
2019-03-01T00:00:00.000Z,10.1101/381749
2019-03-01T00:00:00.000Z,10.1101/444141
2019-03-11T00:00:00.000Z,10.1101/302679
2019-03-12T00:00:00.000Z,10.1101/334243
2019-03-13T00:00:00.000Z,10.1101/358788
2019-03-26T00:00:00.000Z,10.1101/427732
2019-03-27T00:00:00.000Z,10.1101/427724
2019-04-03T00:00:00.000Z,10.1101/072017
2019-04-08T00:00:00.000Z,10.1101/485854
2019-04-09T00:00:00.000Z,10.1101/310664
2019-04-10T00:00:00.000Z,10.1101/303750
2019-04-23T00:00:00.000Z,10.1101/445569
2019-04-25T00:00:00.000Z,10.1101/345041
2019-04-29T00:00:00.000Z,10.1101/368332
2019-05-09T00:00:00.000Z,10.1101/419044
2019-05-13T00:00:00.000Z,10.1101/525212
2019-05-23T00:00:00.000Z,10.1101/497859
2019-05-24T00:00:00.000Z,10.1101/274894
2019-05-24T00:00:00.000Z,10.1101/401927
2019-05-31T00:00:00.000Z,10.1101/231928
2019-05-31T00:00:00.000Z,10.1101/479402
2019-06-04T00:00:00.000Z,10.1101/487447
2019-06-14T00:00:00.000Z,10.1101/349019
2019-06-14T00:00:00.000Z,10.1101/349191
2019-06-17T00:00:00.000Z,10.1101/201350
2019-06-19T00:00:00.000Z,10.1101/534511
2019-07-08T00:00:00.000Z,10.1101/447409
2019-07-09T00:00:00.000Z,10.1101/529479
2019-07-09T00:00:00.000Z,10.1101/536243
2019-07-15T00:00:00.000Z,10.1101/568584
2019-07-18T00:00:00.000Z,10.1101/562587
2019-08-26T00:00:00.000Z,10.1101/628099
2019-08-27T00:00:00.000Z,10.1101/532341
2019-08-28T00:00:00.000Z,10.1101/577452
2019-09-02T00:00:00.000Z,10.1101/328245
2019-09-12T00:00:00.000Z,10.1101/448787
2019-09-16T00:00:00.000Z,10.1101/636993
2019-09-17T00:00:00.000Z,10.1101/515122
2019-09-24T00:00:00.000Z,10.1101/512079
2019-09-25T00:00:00.000Z,10.1101/589341
2019-09-26T00:00:00.000Z,10.1101/721449
2019-10-03T00:00:00.000Z,10.1101/308932
2019-10-11T00:00:00.000Z,10.1101/049114
2019-10-11T00:00:00.000Z,10.1101/205799
2019-10-11T00:00:00.000Z,10.1101/556035
2019-10-11T00:00:00.000Z,10.1101/619544
2019-10-21T00:00:00.000Z,10.1101/559302
2019-10-21T00:00:00.000Z,10.1101/560706
2019-10-24T00:00:00.000Z,10.1101/360156
2019-10-29T00:00:00.000Z,10.1101/728006
2019-11-06T00:00:00.000Z,10.1101/328070
2019-11-07T00:00:00.000Z,10.1101/470351
2019-11-18T00:00:00.000Z,10.1101/357996
2019-12-03T00:00:00.000Z,10.1101/416677
2019-12-04T00:00:00.000Z,10.1101/811885
2019-12-13T00:00:00.000Z,10.1101/692582
2019-12-16T00:00:00.000Z,10.1101/648683
2019-12-18T00:00:00.000Z,10.1101/625830
2019-12-18T00:00:00.000Z,10.1101/702944
2019-12-18T00:00:00.000Z,10.1101/751370
2019-12-19T00:00:00.000Z,10.1101/559245
2019-12-19T00:00:00.000Z,10.1101/624783
2020-01-20T00:00:00.000Z,10.1101/438127
2020-01-30T00:00:00.000Z,10.1101/623553
2020-02-04T00:00:00.000Z,10.1101/746081
2020-02-11T00:00:00.000Z,10.1101/719260
2020-02-14T00:00:00.000Z,10.1101/718031
2020-02-17T00:00:00.000Z,10.1101/428201
2020-02-19T00:00:00.000Z,10.1101/532424
2020-02-25T00:00:00.000Z,10.1101/754929
2020-02-26T00:00:00.000Z,10.1101/106138
2020-03-05T00:00:00.000Z,10.1101/664987
2020-03-11T00:00:00.000Z,10.1101/817221
2020-03-23T00:00:00.000Z,10.1101/668178
2020-03-24T00:00:00.000Z,10.1101/353334
2020-04-01T00:00:00.000Z,10.1101/599043
2020-04-07T00:00:00.000Z,10.1101/712612
2020-04-07T00:00:00.000Z,10.1101/751099
2020-04-08T00:00:00.000Z,10.1101/762997
2020-04-17T00:00:00.000Z,10.1101/871533
2020-04-22T00:00:00.000Z,10.1101/747006
2020-04-22T00:00:00.000Z,10.1101/832790
2020-04-24T00:00:00.000Z,10.1101/2020.02.10.941955
2020-04-29T00:00:00.000Z,10.1101/515833
2020-04-29T00:00:00.000Z,10.1101/808857
2020-05-04T00:00:00.000Z,10.1101/649772
2020-05-08T00:00:00.000Z,10.1101/824623
2020-05-14T00:00:00.000Z,10.1101/330787
2020-05-21T00:00:00.000Z,10.1101/2020.04.09.034462
2020-05-29T00:00:00.000Z,10.1101/553933
2020-06-05T00:00:00.000Z,10.1101/2020.03.15.992438
2020-06-09T00:00:00.000Z,10.1101/870402
2020-06-10T00:00:00.000Z,10.1101/216747
2020-06-10T00:00:00.000Z,10.1101/744748
2020-06-24T00:00:00.000Z,10.1101/2020.01.12.903351
2020-06-30T00:00:00.000Z,10.1101/2020.02.21.958074
2020-07-03T00:00:00.000Z,10.1101/2020.05.05.079939
2020-07-09T00:00:00.000Z,10.1101/2020.03.30.010058
2020-07-21T00:00:00.000Z,10.1101/2020.05.20.104885
2020-07-21T00:00:00.000Z,10.1101/833012
2020-07-23T00:00:00.000Z,10.1101/2020.01.13.905158
2020-07-27T00:00:00.000Z,10.1101/2020.03.30.015164
2020-08-10T00:00:00.000Z,10.1101/2020.04.29.057232
2020-08-18T00:00:00.000Z,10.1101/832477
2020-08-24T00:00:00.000Z,10.1101/2020.05.27.119727
2020-08-28T00:00:00.000Z,10.1101/651422
2020-09-01T00:00:00.000Z,10.1101/2020.05.12.090662
2020-09-10T00:00:00.000Z,10.1101/766360
2020-09-11T00:00:00.000Z,10.1101/2020.03.05.978718
2020-09-11T00:00:00.000Z,10.1101/2020.06.27.175182
2020-09-16T00:00:00.000Z,10.1101/2020.03.10.986463
2020-09-17T00:00:00.000Z,10.1101/2020.03.28.013896
2020-09-30T00:00:00.000Z,10.1101/2020.07.14.202341
2020-10-03T00:00:00.000Z,10.1101/2020.03.12.974543
2020-10-16T00:00:00.000Z,10.1101/731349
2020-10-27T00:00:00.000Z,10.1101/2020.04.30.069724
2020-10-28T00:00:00.000Z,10.1101/2020.06.29.177253
